Energy Loss (eV)	Intensity
1.581250000000000284e+02	1.321123689299381795e+03
1.581875000000000284e+02	1.320355985992166097e+03
1.582500000000000284e+02	1.319736915429119108e+03
1.583125000000000284e+02	1.319205303047559710e+03
1.583750000000000284e+02	1.318747332930941639e+03
1.584375000000000284e+02	1.318148228908529063e+03
1.585000000000000284e+02	1.317262563934950322e+03
1.585625000000000284e+02	1.316075785873725636e+03
1.586250000000000284e+02	1.314881709775875834e+03
1.586875000000000284e+02	1.313959656295555078e+03
1.587500000000000284e+02	1.313608696269134043e+03
1.588125000000000284e+02	1.313889990980321727e+03
1.588750000000000284e+02	1.314496162536444217e+03
1.589375000000000284e+02	1.314867940278791139e+03
1.590000000000000284e+02	1.314685883450256370e+03
1.590625000000000284e+02	1.314165940415453406e+03
1.591250000000000284e+02	1.313920738884840830e+03
1.591875000000000284e+02	1.313943896387574114e+03
1.592500000000000284e+02	1.313817685655066725e+03
1.593125000000000284e+02	1.313391068991436896e+03
1.593750000000000284e+02	1.313055062796101538e+03
1.594375000000000284e+02	1.312642705174928324e+03
1.595000000000000284e+02	1.311802791226313275e+03
1.595625000000000284e+02	1.310594272480868767e+03
1.596250000000000284e+02	1.309368457088193736e+03
1.596875000000000284e+02	1.308296293481233079e+03
1.597500000000000284e+02	1.307515440347121967e+03
1.598125000000000284e+02	1.307171221118805761e+03
1.598750000000000284e+02	1.306990316713740185e+03
1.599375000000000284e+02	1.306802961871356729e+03
1.600000000000000284e+02	1.306334571496903209e+03
1.600625000000000284e+02	1.305264558673470674e+03
1.601250000000000284e+02	1.303769067032617841e+03
1.601875000000000284e+02	1.302916416180759143e+03
1.602500000000000284e+02	1.303148033482144001e+03
1.603125000000000284e+02	1.303420819629192010e+03
1.603750000000000284e+02	1.302846832247632392e+03
1.604375000000000284e+02	1.301727704446065218e+03
1.605000000000000284e+02	1.300976649690234581e+03
1.605625000000000284e+02	1.300470000501094546e+03
1.606250000000000284e+02	1.299970336484148447e+03
1.606875000000000284e+02	1.299667472303208342e+03
1.607500000000000284e+02	1.299929923993259081e+03
1.608125000000000284e+02	1.299881946884112040e+03
1.608750000000000284e+02	1.298772769952625140e+03
1.609375000000000284e+02	1.297198915019133892e+03
1.610000000000000284e+02	1.296506088010205303e+03
1.610625000000000284e+02	1.296989752072705187e+03
1.611250000000000284e+02	1.297499355502916615e+03
1.611875000000000284e+02	1.296963027765125162e+03
1.612500000000000284e+02	1.295474146342020276e+03
1.613125000000000284e+02	1.294533025282435347e+03
1.613750000000000284e+02	1.295045724717566827e+03
1.614375000000000284e+02	1.296603145225948765e+03
1.615000000000000284e+02	1.297724730434585808e+03
1.615625000000000284e+02	1.297751681486881580e+03
1.616250000000000284e+02	1.297208339855139684e+03
1.616875000000000284e+02	1.296960149166364090e+03
1.617500000000000284e+02	1.296665211324709617e+03
1.618125000000000284e+02	1.295706932238521404e+03
1.618750000000000284e+02	1.294286217360606315e+03
1.619375000000000284e+02	1.293067165611334985e+03
1.620000000000000284e+02	1.291796933673470448e+03
1.620625000000000284e+02	1.290342585049199442e+03
1.621250000000000284e+02	1.289359778425657169e+03
1.621875000000000284e+02	1.289615012572887281e+03
1.622500000000000284e+02	1.290325992984694949e+03
1.623125000000000284e+02	1.290172924198251849e+03
1.623750000000000284e+02	1.288885938661626369e+03
1.624375000000000284e+02	1.287748600150329139e+03
1.625000000000000284e+02	1.287643337600219866e+03
1.625625000000000284e+02	1.288477417205722759e+03
1.626250000000000284e+02	1.289499053571429613e+03
1.626875000000000284e+02	1.290150281773871484e+03
1.627500000000000284e+02	1.289732252437136594e+03
1.628125000000000284e+02	1.288360236743805899e+03
1.628750000000000284e+02	1.286590792820700699e+03
1.629375000000000284e+02	1.285245362609330641e+03
1.630000000000000284e+02	1.284383214285715667e+03
