Energy Loss (eV)	Original	Background_fit	Background_subtracted
1.208402921468904765e+02	8.756269531250000000e+02	8.481893870475842050e+02	2.743756607741579501e+01
1.209652921468904765e+02	8.664648437500000000e+02	8.448791876886391492e+02	2.158565606136085080e+01
1.210902921468904765e+02	8.634882812500000000e+02	8.415853057832621289e+02	2.190297546673787110e+01
1.212152921468904765e+02	8.687968750000000000e+02	8.383076441754705002e+02	3.048923082452949984e+01
1.213402921468904765e+02	8.580039062500000000e+02	8.350461063871071019e+02	2.295779986289289809e+01
1.214652921468904765e+02	8.556347656250000000e+02	8.318005966124196675e+02	2.383416901258033249e+01
1.215902921468904765e+02	8.519316406250000000e+02	8.285710197126892353e+02	2.336062091231076465e+01
1.217152921468904765e+02	8.440468750000000000e+02	8.253572812109058532e+02	1.868959378909414681e+01
1.218402921468904765e+02	8.477636718750000000e+02	8.221592872864939636e+02	2.560438458850603638e+01
1.219652921468904765e+02	8.383710937500000000e+02	8.189769447700841738e+02	1.939414897991582620e+01
1.220902921468904765e+02	8.306972656250000000e+02	8.158101611383318641e+02	1.488710448666813591e+01
1.222152921468904765e+02	8.273281250000000000e+02	8.126588445087822947e+02	1.466928049121770528e+01
1.223402921468904765e+02	8.294492187500000000e+02	8.095229036347827787e+02	1.992631511521722132e+01
1.224652921468904765e+02	8.274804687500000000e+02	8.064022479004381694e+02	2.107822084956183062e+01
1.225902921468904765e+02	8.160097656250000000e+02	8.032967873156145515e+02	1.271297830938544848e+01
1.227152921468904765e+02	8.134453125000000000e+02	8.002064325109843139e+02	1.323887998901568608e+01
1.228402921468904765e+02	8.142480468750000000e+02	7.971310947331177204e+02	1.711695214188227965e+01
1.229652921468904765e+02	8.086308593750000000e+02	7.940706858396177950e+02	1.456017353538220505e+01
1.230902921468904765e+02	8.123320312500000000e+02	7.910251182942972719e+02	2.130691295570272814e+01
1.232152921468904765e+02	8.239707031250000000e+02	7.879943051624004511e+02	3.597639796259954892e+01
1.233402921468904765e+02	8.181679687500000000e+02	7.849781601058655269e+02	3.318980864413447307e+01
1.234652921468904765e+02	8.118789062500000000e+02	7.819765973786306859e+02	2.990230887136931415e+01
1.235902921468904765e+02	7.934882812500000000e+02	7.789895318219807905e+02	1.449874942801920952e+01
1.237152921468904765e+02	7.853378906250000000e+02	7.760168788599359004e+02	9.321011765064099563e+00
1.238402921468904765e+02	7.768300781250000000e+02	7.730585544946793561e+02	3.771523630320643861e+00
1.239652921468904765e+02	7.773261718750000000e+02	7.701144753020286089e+02	7.211696572971391106e+00
1.240902921468904765e+02	7.875195312500000000e+02	7.671845584269437950e+02	2.033497282305620502e+01
1.242152921468904765e+02	7.717402343750000000e+02	7.642687215790768960e+02	7.471512795923104022e+00
1.243402921468904765e+02	7.582441406250000000e+02	7.613668830283604620e+02	-3.122742403360462049e+00
1.244652921468904765e+02	7.729433593750000000e+02	7.584789616006345341e+02	1.446439777436546592e+01
1.245902921468904765e+02	7.699648437500000000e+02	7.556048766733126740e+02	1.435996707668732597e+01
1.247152921468904765e+02	7.670019531250000000e+02	7.527445481710852846e+02	1.425740495391471541e+01
1.248402921468904765e+02	7.602324218750000000e+02	7.498978965616614687e+02	1.033452531333853130e+01
1.249652921468904765e+02	7.633085937500000000e+02	7.470648428515476098e+02	1.624375089845239017e+01
1.250902921468904765e+02	7.594960937500000000e+02	7.442453085818635827e+02	1.525078516813641727e+01
1.252152921468904765e+02	7.556113281250000000e+02	7.414392158241950028e+02	1.417211230080499718e+01
1.253402921468904765e+02	7.563945312500000000e+02	7.386464871764820828e+02	1.774804407351791724e+01
1.254652921468904765e+02	7.589902343750000000e+02	7.358670457589441867e+02	2.312318861605581333e+01
1.255902921468904765e+02	7.579062500000000000e+02	7.331008152100403095e+02	2.480543478995969053e+01
1.257152921468904765e+02	7.506210937500000000e+02	7.303477196824642306e+02	2.027337406753576943e+01
1.258402921468904765e+02	7.513320312500000000e+02	7.276076838391754791e+02	2.372434741082452092e+01
1.259652921468904765e+02	7.419531250000000000e+02	7.248806328494633817e+02	1.707249215053661828e+01
1.260902921468904765e+02	7.257675781250000000e+02	7.221664923850472633e+02	3.601085739952736731e+00
1.262152921468904765e+02	7.329003906250000000e+02	7.194651886162082519e+02	1.343520200879174809e+01
1.263402921468904765e+02	7.363222656250000000e+02	7.167766482079570096e+02	1.954561741704299038e+01
1.264652921468904765e+02	7.338378906250000000e+02	7.141007983162327264e+02	1.973709230876727361e+01
1.265902921468904765e+02	7.213886718750000000e+02	7.114375665841361069e+02	9.951105290863893060e+00
1.267152921468904765e+02	7.265195312500000000e+02	7.087868811381946443e+02	1.773265011180535566e+01
1.268402921468904765e+02	7.215429687500000000e+02	7.061486705846604082e+02	1.539429816533959183e+01
