File	Integrated_Intensity	Mean_q(nm^-1)	Invariant	Capacity(mAh/g)	Potential(V)
306	1.9077e-02	2.0557	9.0612e-02	5610.7456	2.1847
307	1.9307e-02	2.0549	9.1586e-02	5629.1241	2.1922
308	1.9255e-02	2.0503	9.1024e-02	5647.2699	2.2001
309	1.9191e-02	2.0543	9.1053e-02	5665.6484	2.2078
310	1.9212e-02	2.0597	9.1572e-02	5684.2595	2.2157
311	1.9151e-02	2.0665	9.1893e-02	5702.6379	2.2237
312	1.9109e-02	2.0644	9.1412e-02	5721.2490	2.2317
313	1.9035e-02	2.0622	9.0831e-02	5739.6275	2.2401
314	1.9456e-02	2.0653	9.3333e-02	5758.0060	2.2484
315	1.9341e-02	2.0600	9.2172e-02	5776.6171	2.2569
316	1.9393e-02	2.0561	9.2199e-02	5794.9955	2.2657
317	1.9460e-02	2.0540	9.2371e-02	5813.3740	2.2746
318	1.9153e-02	2.0694	9.1976e-02	5831.9851	2.2837
319	1.9379e-02	2.0644	9.2934e-02	5850.3636	2.2928
320	1.9323e-02	2.0526	9.1311e-02	5868.5094	2.3019
321	1.9391e-02	2.0535	9.1781e-02	5886.8879	2.3113
322	1.9228e-02	2.0416	8.9907e-02	5905.2664	2.3207
323	1.9636e-02	2.0476	9.2411e-02	5923.6448	2.3299
324	1.9384e-02	2.0630	9.2825e-02	5942.0233	2.3388
325	1.9649e-02	2.0627	9.3957e-02	5960.6344	2.3476
326	1.9806e-02	2.0466	9.3282e-02	5979.0129	2.3560
327	1.9867e-02	2.0671	9.5452e-02	5997.3913	2.3639
328	1.9819e-02	2.0573	9.4247e-02	6015.7698	2.3717
329	1.9741e-02	2.0587	9.4099e-02	6034.1483	2.3796
330	1.9904e-02	2.0530	9.4427e-02	6052.5267	2.3878
331	1.9854e-02	2.0488	9.3895e-02	6070.9052	2.3958
332	1.9696e-02	2.0420	9.2258e-02	6089.2837	2.4038
333	1.9990e-02	2.0563	9.5149e-02	6107.6621	2.4119
334	1.9785e-02	2.0538	9.3736e-02	6126.2733	2.4198
335	1.9940e-02	2.0522	9.4443e-02	6144.6517	2.4274
336	1.9871e-02	2.0435	9.3280e-02	6163.0302	2.4343
337	1.9952e-02	2.0389	9.3293e-02	6181.4087	2.4408
338	1.9979e-02	2.0456	9.3985e-02	6200.0198	2.4471
339	1.9936e-02	2.0417	9.3324e-02	6218.3983	2.4533
340	2.0164e-02	2.0431	9.4621e-02	6236.7767	2.4594
341	2.0225e-02	2.0432	9.4964e-02	6255.1552	2.4656
342	2.0071e-02	2.0359	9.3592e-02	6273.5337	2.4718
343	2.0282e-02	2.0347	9.4677e-02	6291.9122	2.4783
344	2.0324e-02	2.0441	9.5439e-02	6310.5233	2.4850
345	2.0406e-02	2.0384	9.5406e-02	6328.9018	2.4922
346	2.0194e-02	2.0403	9.4591e-02	6347.2802	2.4997
347	2.0577e-02	2.0377	9.6154e-02	6365.6587	2.5076
348	2.0517e-02	2.0526	9.7224e-02	6384.2698	2.5162
349	2.0322e-02	2.0378	9.4996e-02	6402.6483	2.5253
350	2.0755e-02	2.0306	9.6414e-02	6421.2594	2.5350
351	2.0675e-02	2.0360	9.6565e-02	6439.6379	2.5457
352	2.0534e-02	2.0320	9.5590e-02	6458.0164	2.5573
353	2.0613e-02	2.0243	9.5046e-02	6476.3948	2.5696
354	2.0431e-02	2.0348	9.5229e-02	6494.7733	2.5831
355	2.0678e-02	2.0381	9.6649e-02	6513.1518	2.5979
356	2.0819e-02	2.0363	9.7081e-02	6531.5303	2.6139
357	2.0668e-02	2.0428	9.7171e-02	6549.9087	2.6315
358	2.0566e-02	2.0372	9.6274e-02	6568.2872	2.6506
359	2.0890e-02	2.0341	9.7284e-02	6586.6657	2.6722
360	2.0536e-02	2.0414	9.6463e-02	6605.0442	2.6951
361	2.0591e-02	2.0255	9.5295e-02	6623.6553	2.7207
362	2.0599e-02	2.0384	9.6277e-02	6642.0338	2.7480
363	2.0833e-02	2.0459	9.8172e-02	6660.6449	2.7777
364	2.0487e-02	2.0331	9.5246e-02	6679.0233	2.8087
365	2.0705e-02	2.0270	9.5925e-02	6697.4018	2.8409
366	2.0679e-02	2.0200	9.5125e-02	6716.0129	2.8739
367	2.0658e-02	2.0284	9.5780e-02	6734.3914	2.9093
368	2.0747e-02	2.0276	9.6150e-02	6752.7699	2.9539
369	2.0137e-02	2.0258	9.3116e-02	6771.2312	2.3895
370	2.0381e-02	2.0420	9.5673e-02	6789.6096	1.9592
371	2.0357e-02	2.0341	9.4725e-02	6807.9881	1.8609
372	2.0196e-02	2.0399	9.4736e-02	6826.3666	1.8621
373	2.0007e-02	2.0385	9.3594e-02	6844.7451	1.8646
374	2.0356e-02	2.0330	9.4822e-02	6863.1235	1.8659
375	2.0239e-02	2.0588	9.6425e-02	6881.5020	1.8665
376	2.0052e-02	2.0399	9.3941e-02	6900.1131	1.8669
377	2.0098e-02	2.0506	9.5062e-02	6918.4916	1.8672
378	2.0070e-02	2.0375	9.3906e-02	6936.8701	1.8676
379	2.0032e-02	2.0473	9.4424e-02	6955.2485	1.8677
380	1.9999e-02	2.0453	9.4120e-02	6973.6270	1.8680
381	1.9668e-02	2.0420	9.2212e-02	6992.0055	1.8682
382	1.9858e-02	2.0482	9.3800e-02	7010.6166	1.8683
383	1.9739e-02	2.0556	9.3906e-02	7028.9951	1.8682
384	2.0001e-02	2.0448	9.3984e-02	7047.3736	1.8681
385	1.9658e-02	2.0485	9.2773e-02	7065.7520	1.8676
386	1.9782e-02	2.0506	9.3568e-02	7084.1305	1.8674
387	1.9440e-02	2.0416	9.0987e-02	7102.2763	1.8668
388	1.9487e-02	2.0521	9.2317e-02	7120.6548	1.8661
389	1.9513e-02	2.0498	9.2234e-02	7139.0333	1.8656
390	1.9284e-02	2.0495	9.0947e-02	7157.6444	1.8650
391	1.9530e-02	2.0540	9.2557e-02	7176.0229	1.8641
392	1.9633e-02	2.0493	9.2515e-02	7194.4014	1.8634
393	1.9357e-02	2.0534	9.1770e-02	7213.0125	1.8623
394	1.9582e-02	2.0398	9.1459e-02	7231.3909	1.8615
395	1.9571e-02	2.0418	9.1791e-02	7250.0021	1.8603
396	1.9635e-02	2.0577	9.3445e-02	7268.3805	1.8593
397	1.9389e-02	2.0540	9.1989e-02	7286.7590	1.8581
398	1.9237e-02	2.0482	9.0555e-02	7305.1375	1.8568
399	1.9435e-02	2.0592	9.2742e-02	7323.7486	1.8552
400	1.9507e-02	2.0455	9.1719e-02	7342.1271	1.8534
401	1.9180e-02	2.0604	9.1621e-02	7360.5055	1.8519
402	1.9196e-02	2.0594	9.1447e-02	7379.1167	1.8501
403	1.9394e-02	2.0593	9.2504e-02	7397.4951	1.8483
404	1.9408e-02	2.0529	9.1880e-02	7416.1063	1.8465
405	1.9351e-02	2.0577	9.2188e-02	7434.4847	1.8444
406	1.8998e-02	2.0574	9.0291e-02	7452.8632	1.8424
